order_id,order_date,order_time,product_name,order_price,tax_value,existing_customer,customer_name,mobile_number
1,2023-06-24,02:41:41,OnePlus 9,1043.5,104.35,True,Collin Jensen,9693569593
2,2023-06-16,16:51:32,Nokia 8.3,291.15,29.11,True,Ethan Williams,9497891457
3,2023-03-10,00:14:03,OnePlus 9,683.18,68.32,False,Bailey Murphy,9279397529
4,2023-07-19,06:30:19,iPhone SE,561.97,56.2,True,Diana Nelson,9239496918
5,2023-01-31,14:54:07,iPhone 12,1452.27,145.23,False,Thomas Farley,9595500820
6,2023-05-14,14:06:46,OnePlus 9,1426.71,142.67,False,Scott Miller,9966632226
7,2023-02-12,16:43:13,Galaxy Note 10,530.12,53.01,True,Stephanie Smith,9919510341
8,2023-01-23,04:31:01,Moto G Power,1471.15,147.12,False,Gregory Poole,9038205694
9,2023-05-08,21:43:59,iPhone 12,1377.09,137.71,True,Terry Smith,9043952584
10,2023-04-21,04:51:04,Galaxy Note 10,1349.24,134.92,False,Karen Mahoney,9570522284
11,2023-06-01,12:34:58,Pixel 5,215.59,21.56,False,Kathleen Alvarez,9956901716
12,2023-07-15,04:30:16,iPhone 12,1200.56,120.06,False,Brenda Ball,9041137190
13,2023-01-11,22:06:18,Nokia 8.3,1468.58,146.86,False,Richard Thomas PhD,9191589805
14,2023-03-23,02:06:11,iPhone SE,1495.13,149.51,True,Catherine Harvey,9378434740
15,2023-02-06,18:56:08,Pixel 5,1020.92,102.09,True,Cody Simpson,9422136250
16,2023-06-07,02:18:15,iPhone 12,549.12,54.91,True,Kyle Perez,9770553520
17,2023-07-09,12:23:13,OnePlus 9,1117.02,111.7,True,Kimberly Ayers,9481957751
18,2023-06-19,14:28:04,Nokia 8.3,1337.91,133.79,True,David Chang MD,9092541861
19,2023-07-15,07:20:20,Moto G Power,628.84,62.88,False,Nicholas Sullivan,9823154924
20,2023-02-16,11:59:10,Pixel 5,311.12,31.11,True,Nicholas Medina,9054037133
21,2023-02-24,03:52:38,Moto G Power,1440.8,144.08,False,Brooke Villa,9015620695
22,2023-04-09,14:54:40,Galaxy S21,282.16,28.22,False,Christine Hicks,9963662536
23,2023-06-29,06:10:22,Galaxy S21,1385.25,138.53,True,Anthony Bates,9866965618
24,2023-01-15,14:43:21,Pixel 5,317.28,31.73,True,Brandon Barnett,9106471102
25,2023-02-11,23:47:03,iPhone SE,245.46,24.55,False,Danielle Phillips,9359856088
26,2023-05-04,11:08:16,Moto G Power,813.84,81.38,True,George Smith,9730503255
27,2023-02-26,03:11:53,iPhone SE,934.5,93.45,False,Crystal Wilson,9464447503
28,2023-06-06,12:35:52,OnePlus 9,547.98,54.8,False,Nancy Yu,9205742041
29,2023-02-25,17:16:59,iPhone SE,354.79,35.48,True,Monique Rivera,9229591092
30,2023-04-27,20:52:24,Moto G Power,679.14,67.91,False,Tony Craig,9597037369
31,2023-05-09,10:20:19,Galaxy S21,1106.82,110.68,True,Amy Warren,9939227439
32,2023-06-19,01:46:11,Nokia 8.3,1371.97,137.2,False,Richard Ingram,9716048245
33,2023-02-01,08:33:14,iPhone SE,1302.91,130.29,False,Travis Cochran,9727405373
34,2023-06-15,21:39:54,Galaxy Note 10,886.33,88.63,True,Mrs. Diana Moore MD,9671645346
35,2023-07-05,21:11:05,OnePlus 9,358.75,35.88,False,Christine Simpson,9608309434
36,2023-01-23,21:49:44,Pixel 5,1456.82,145.68,False,Jordan Gonzalez,9160607754
37,2023-06-19,14:24:11,OnePlus 9,267.5,26.75,False,James Williams,9949588915
38,2023-04-17,01:10:18,Pixel 5,1378.53,137.85,False,Kristin Marquez,9439747688
39,2023-04-02,19:08:27,Galaxy Note 10,530.92,53.09,False,Christine Williams,9611473227
40,2023-01-07,19:03:28,Galaxy S21,562.83,56.28,True,Douglas Shields MD,9659115826
41,2023-03-20,12:28:08,Nokia 8.3,815.29,81.53,True,Matthew Fleming,9076249606
42,2023-01-16,21:40:57,Nokia 8.3,651.36,65.14,True,John Cooper,9335911789
43,2023-01-24,18:37:50,iPhone SE,1412.64,141.26,True,Megan Fitzgerald,9912439835
44,2023-02-20,00:23:51,Galaxy S21,936.95,93.7,True,Elijah Roberts,9275894557
45,2023-05-15,22:20:15,iPhone SE,499.88,49.99,True,Madison Morton,9493734630
46,2023-04-27,14:36:14,Galaxy Note 10,671.43,67.14,True,Andrea Singleton,9981286444
47,2023-03-04,11:16:44,iPhone 12,1218.27,121.83,False,Deborah Yu,9453987450
48,2023-05-21,22:04:37,Galaxy Note 10,328.77,32.88,False,Mark Contreras,9801169670
49,2023-01-10,21:32:04,iPhone SE,1398.05,139.81,False,Jeffrey Ellis,9284957755
50,2023-02-06,17:16:27,Nokia 8.3,504.96,50.5,False,Robert Richardson,9148302912
51,2023-04-21,10:32:49,iPhone 12,866.17,86.62,False,Kayla Walsh,9616053434
52,2023-01-30,07:52:53,Galaxy S21,211.08,21.11,False,Antonio Downs,9080186665
53,2023-02-20,04:30:17,Galaxy Note 10,790.13,79.01,False,James Klein,9485732862
54,2023-04-20,04:07:05,Nokia 8.3,1139.72,113.97,False,Michael Sanchez,9127577280
55,2023-05-24,00:50:14,Galaxy Note 10,417.52,41.75,False,Brandon Greene,9832001663
56,2023-03-29,03:56:00,iPhone 12,1036.36,103.64,False,Brittany Morgan,9536325505
57,2023-04-21,22:28:29,OnePlus 9,691.86,69.19,False,Kevin Stewart,9779555906
58,2023-04-28,18:18:56,Nokia 8.3,764.06,76.41,True,Jeffrey Smith,9929934254
59,2023-04-30,10:48:53,Pixel 5,358.4,35.84,True,Joseph Stewart,9567407566
60,2023-01-20,22:22:10,Galaxy Note 10,1394.94,139.49,True,Lisa Parker,9475788925
61,2023-04-11,10:49:36,Pixel 5,957.72,95.77,True,Kelly Ellis,9190828034
62,2023-02-13,10:25:00,Pixel 5,276.62,27.66,True,Kathryn Key,9127624282
63,2023-07-15,01:06:00,Pixel 5,1469.88,146.99,True,Sherry Lara,9074787031
64,2023-01-23,05:01:04,iPhone SE,1252.19,125.22,False,Yvonne Good,9655596157
65,2023-06-20,13:43:54,Galaxy Note 10,231.37,23.14,False,Emily Morris,9401304549
66,2023-03-27,17:31:29,Galaxy S21,1243.65,124.37,True,Ryan Green,9536083670
67,2023-04-05,07:53:19,Moto G Power,705.19,70.52,True,Dr. Kimberly Johnson,9703229368
68,2023-07-13,17:43:28,OnePlus 9,492.57,49.26,False,Lynn Wilson,9149810064
69,2023-04-01,15:00:36,iPhone 12,638.0,63.8,False,Brian Brown,9688636059
70,2023-03-18,03:08:12,iPhone SE,986.07,98.61,True,Bruce Howe,9765740586
71,2023-02-07,11:34:22,iPhone 12,402.0,40.2,True,Kristi Gray,9228266145
72,2023-03-07,19:20:26,Galaxy S21,1460.6,146.06,False,Kelly Peterson,9227817542
73,2023-07-01,03:35:25,Pixel 5,326.84,32.68,False,Noah Carter,9721267518
74,2023-04-13,22:28:36,Nokia 8.3,745.5,74.55,True,Ebony Davis,9546157669
75,2023-06-07,20:33:30,Galaxy Note 10,455.48,45.55,False,Eugene Carroll,9736563044
76,2023-03-10,01:12:32,Galaxy S21,1358.82,135.88,False,Ms. Elizabeth Long,9186120260
77,2023-01-14,17:02:10,Moto G Power,785.61,78.56,True,Ashley Mckee,9465011853
78,2023-06-15,15:40:37,Moto G Power,980.68,98.07,False,David Gallagher,9167721695
79,2023-07-03,14:28:09,Pixel 5,518.15,51.81,True,Debra Simpson,9347813186
80,2023-01-02,10:06:01,Galaxy Note 10,318.63,31.86,True,Gina Matthews,9463635837
81,2023-06-30,01:25:50,iPhone 12,1174.97,117.5,True,Jose Campbell,9835489548
82,2023-07-02,16:28:40,Pixel 5,1304.73,130.47,False,James Smith,9481315475
83,2023-02-05,16:33:27,OnePlus 9,789.67,78.97,True,Lauren Delgado,9372634222
84,2023-01-26,11:05:11,Nokia 8.3,1036.6,103.66,False,Sabrina Thompson,9156692716
85,2023-07-03,19:48:46,iPhone 12,1435.85,143.59,False,Sarah Mills,9041868663
86,2023-05-19,07:42:30,Moto G Power,867.98,86.8,True,Alan Gibson,9994808110
87,2023-01-29,03:15:01,OnePlus 9,1076.73,107.67,True,Andrew Dodson,9694224502
88,2023-07-06,20:19:45,Nokia 8.3,1101.27,110.13,True,Tara Steele,9877066536
89,2023-04-17,01:52:04,Pixel 5,696.32,69.63,False,William Terrell,9854973881
90,2023-03-26,03:42:51,iPhone SE,717.89,71.79,False,Timothy Carlson,9703567744
91,2023-01-02,06:16:40,iPhone SE,906.82,90.68,True,Caitlyn Johnson,9579206461
